set_num,name,year,theme_id,num_parts,img_url
001-1,Gears,1965,1,43,https://cdn.rebrickable.com/media/sets/001-1.jpg
0011-2,Town Mini-Figures,1979,67,12,https://cdn.rebrickable.com/media/sets/0011-2.jpg
0011-3,Castle 2 for 1 Bonus Offer,1987,199,0,https://cdn.rebrickable.com/media/sets/0011-3.jpg
0012-1,Space Mini-Figures,1979,143,12,https://cdn.rebrickable.com/media/sets/0012-1.jpg
0013-1,Space Mini-Figures,1979,143,12,https://cdn.rebrickable.com/media/sets/0013-1.jpg
0014-1,Space Mini-Figures,1979,143,12,https://cdn.rebrickable.com/media/sets/0014-1.jpg
0015-1,Space Mini-Figures,1979,143,18,https://cdn.rebrickable.com/media/sets/0015-1.jpg
0016-1,Castle Mini Figures,1979,189,15,https://cdn.rebrickable.com/media/sets/0016-1.jpg
002-1,4.5V Samsonite Gears Motor Set,1965,1,3,https://cdn.rebrickable.com/media/sets/002-1.jpg
002253963-1,Legend of Chima: Corbeaux et Gorilles,2013,497,4,https://cdn.rebrickable.com/media/sets/002253963-1.jpg
003-1,Master Mechanic Set,1966,366,403,https://cdn.rebrickable.com/media/sets/003-1.jpg
005-1,Basic Building Set in Cardboard,1965,366,35,https://cdn.rebrickable.com/media/sets/005-1.jpg
005-2,Discovery Set,1967,366,0,https://cdn.rebrickable.com/media/sets/005-2.jpg
00-6,Special Offer,1985,67,0,https://cdn.rebrickable.com/media/sets/00-6.jpg
010-1,Basic Building Set in Cardboard,1965,366,57,https://cdn.rebrickable.com/media/sets/010-1.jpg
010-3,Basic Building Set,1968,366,77,https://cdn.rebrickable.com/media/sets/010-3.jpg
011-1,Basic Building Set,1968,366,145,https://cdn.rebrickable.com/media/sets/011-1.jpg
021-1,Wheel Set,1966,366,183,https://cdn.rebrickable.com/media/sets/021-1.jpg
022-1,Basic Building Set,1968,366,110,https://cdn.rebrickable.com/media/sets/022-1.jpg
0241187567-1,Ninjago: Build Your Own Adventure,2015,497,74,https://cdn.rebrickable.com/media/sets/0241187567-1.jpg
0241357594-1,Star Wars: Build Your Own Adventure: Galactic Missions,2019,497,70,https://cdn.rebrickable.com/media/sets/0241357594-1.jpg
028-1,Nursery Furniture,1979,652,7,https://cdn.rebrickable.com/media/sets/028-1.jpg
030-2,Building Set,1973,505,29,https://cdn.rebrickable.com/media/sets/030-2.jpg
03093-1,The Race to Build It Board Game,1999,674,77,https://cdn.rebrickable.com/media/sets/03093-1.jpg
032-1,Living Room,1979,652,14,https://cdn.rebrickable.com/media/sets/032-1.jpg
033-1,Farm Animals,1979,632,21,https://cdn.rebrickable.com/media/sets/033-1.jpg
033-2,Basic Building Set,1968,366,177,https://cdn.rebrickable.com/media/sets/033-2.jpg
041-1,Pre-School Beginners Set,1964,440,24,https://cdn.rebrickable.com/media/sets/041-1.jpg
041-2,Playhouse,1979,652,1,https://cdn.rebrickable.com/media/sets/041-2.jpg
042-1,Jumbo Brick Pull Toy,1966,440,9,https://cdn.rebrickable.com/media/sets/042-1.jpg
044-1,Basic Building Set,1968,366,225,https://cdn.rebrickable.com/media/sets/044-1.jpg
044-2,Jumbo Bricks,1969,440,30,https://cdn.rebrickable.com/media/sets/044-2.jpg
045-1,Farm,1979,632,66,https://cdn.rebrickable.com/media/sets/045-1.jpg
045-2,Assorted Clear Bricks & Plates,1969,371,37,https://cdn.rebrickable.com/media/sets/045-2.jpg
050-2,Lighting Device Pack,1969,371,4,https://cdn.rebrickable.com/media/sets/050-2.jpg
051-1,Assorted Basic Bricks - Red,1966,371,50,https://cdn.rebrickable.com/media/sets/051-1.jpg
052-1,Assorted Basic Bricks - White,1966,371,50,https://cdn.rebrickable.com/media/sets/052-1.jpg
053-1,Assorted Basic Bricks - Blue,1966,371,50,https://cdn.rebrickable.com/media/sets/053-1.jpg
054-1,Assorted Basic Bricks - Yellow,1966,371,50,https://cdn.rebrickable.com/media/sets/054-1.jpg
055-1,Trees & Bushes,1966,371,25,https://cdn.rebrickable.com/media/sets/055-1.jpg
055-2,Basic Building Set,1968,366,256,https://cdn.rebrickable.com/media/sets/055-2.jpg
057-1,Large Wheels,1966,371,17,https://cdn.rebrickable.com/media/sets/057-1.jpg
058-1,Small Wheels,1966,371,26,https://cdn.rebrickable.com/media/sets/058-1.jpg
060-1,Assorted White Plates,1966,371,15,https://cdn.rebrickable.com/media/sets/060-1.jpg
060-3,Jumbo Brick School Set,1968,440,60,https://cdn.rebrickable.com/media/sets/060-3.jpg
061-1,Five Large Base Plates - Green,1966,371,5,https://cdn.rebrickable.com/media/sets/061-1.jpg
062-1,Five Large Base Plates - White,1966,371,5,https://cdn.rebrickable.com/media/sets/062-1.jpg
063-1,Five Large Base Plates - Blue,1966,371,5,https://cdn.rebrickable.com/media/sets/063-1.jpg
063-2,Ducks,1978,505,18,https://cdn.rebrickable.com/media/sets/063-2.jpg
065-1,Two Garage Door Kits,1969,371,6,https://cdn.rebrickable.com/media/sets/065-1.jpg
066-1,Basic Building Set,1968,366,407,https://cdn.rebrickable.com/media/sets/066-1.jpg
071-1,Block Box,1979,505,24,https://cdn.rebrickable.com/media/sets/071-1.jpg
074-1,Pre-School Set,1976,505,20,https://cdn.rebrickable.com/media/sets/074-1.jpg
075-1,Pre-School Set,1975,505,17,https://cdn.rebrickable.com/media/sets/075-1.jpg
0751359483-1,The Ultimate LEGO Book,1999,497,0,https://cdn.rebrickable.com/media/sets/0751359483-1.jpg
0756668530-1,Atlantis: Brickmaster,2010,497,157,https://cdn.rebrickable.com/media/sets/0756668530-1.jpg
0756672805-1,Pirates: Brickmaster,2009,497,162,https://cdn.rebrickable.com/media/sets/0756672805-1.jpg
0756682762-1,Ninjago: Brickmaster,2011,497,154,https://cdn.rebrickable.com/media/sets/0756682762-1.jpg
0756692571-1,Harry Potter: Characters of the Magical World,2012,497,4,https://cdn.rebrickable.com/media/sets/0756692571-1.jpg
077-1,Pre-School Set,1975,505,21,https://cdn.rebrickable.com/media/sets/077-1.jpg
078-1,Roadway Base Plate,1970,371,1,https://cdn.rebrickable.com/media/sets/078-1.jpg
080-1,Basic Building Set with Train,1967,366,712,https://cdn.rebrickable.com/media/sets/080-1.jpg
080-3,Police Station,1976,505,25,https://cdn.rebrickable.com/media/sets/080-3.jpg
082-1,Legoville,1976,505,63,https://cdn.rebrickable.com/media/sets/082-1.jpg
086-1,Tub Boat,1978,632,3,https://cdn.rebrickable.com/media/sets/086-1.jpg
088-1,Super Set,1969,469,615,https://cdn.rebrickable.com/media/sets/088-1.jpg
10000-1,Guarded Inn,2001,199,256,https://cdn.rebrickable.com/media/sets/10000-1.jpg
10000549412-1,Jurassic World - PC DVD,2015,501,0,https://cdn.rebrickable.com/media/sets/10000549412-1.jpg
1000-1,Mosaic Set,1985,516,203,https://cdn.rebrickable.com/media/sets/1000-1.jpg
10001-1,Metroliner,2001,233,787,https://cdn.rebrickable.com/media/sets/10001-1.jpg
10002-1,Railroad Club Car,2001,233,293,https://cdn.rebrickable.com/media/sets/10002-1.jpg
1000229927-1,Harry Potter: Years 5-7 - PS Vita,2012,501,0,https://cdn.rebrickable.com/media/sets/1000229927-1.jpg
10003-1,1 x 2 Sand Red Bricks,2001,254,100,https://cdn.rebrickable.com/media/sets/10003-1.jpg
1000368666-1,Batman the Videogame - PSP,2008,501,0,https://cdn.rebrickable.com/media/sets/1000368666-1.jpg
10004-1,2 x 2 Sand Red Bricks,2001,254,100,https://cdn.rebrickable.com/media/sets/10004-1.jpg
1000430096-8,Marvel Super Heroes - PS4,2013,501,0,https://cdn.rebrickable.com/media/sets/1000430096-8.jpg
10005-1,2 x 4 Sand Red Bricks,2001,254,50,https://cdn.rebrickable.com/media/sets/10005-1.jpg
1000565140-1,Jurassic World - Xbox One,2015,501,0,https://cdn.rebrickable.com/media/sets/1000565140-1.jpg
1000565190-1,Jurassic World - PS Vita‎,2015,501,0,https://cdn.rebrickable.com/media/sets/1000565190-1.jpg
1000565740-1,Marvel Avengers - Xbox One,2016,501,0,https://cdn.rebrickable.com/media/sets/1000565740-1.jpg
1000565742-1,Marvel Avengers - PS4,2016,501,0,https://cdn.rebrickable.com/media/sets/1000565742-1.jpg
1000565765-1,Marvel Avengers - PS Vita‎,2016,501,0,https://cdn.rebrickable.com/media/sets/1000565765-1.jpg
1000565897-5,Marvel Super Heroes - Xbox One,2013,501,0,https://cdn.rebrickable.com/media/sets/1000565897-5.jpg
1000577871-1,Marvel Avengers - PC,2016,501,0,https://cdn.rebrickable.com/media/sets/1000577871-1.jpg
1000591519-1,Star Wars: The Force Awakens - 3DS,2016,501,0,https://cdn.rebrickable.com/media/sets/1000591519-1.jpg
1000591524-1,Star Wars: The Force Awakens - PS Vita,2016,501,0,https://cdn.rebrickable.com/media/sets/1000591524-1.jpg
